area_index,zone_id,map_name_index,map_name,zone_encounter_id,zone_submap
0,389,4,Nuvema Town,65535,389
1,397,5,Accumula Town,65535,397
2,6,6,Striaton City,0,6
3,16,7,Nacrene City,65535,16
4,28,8,Castelia City,65535,28
5,62,9,Nimbasa City,65535,62
6,96,10,Driftveil City,1,96
7,107,11,Mistralton City,65535,107
8,113,12,Icirrus City,2,113
9,120,13,Opelucid City,65535,120
10,136,44,Pokémon League,65535,136
11,406,41,Lacunosa Town,65535,406
12,412,42,Undella Town,110,412
13,418,43,Anville Town,65535,418
14,424,51,White Forest,65535,424
15,147,52,Unity Tower,65535,147
16,279,69,Entralink,65535,279
17,381,60,Poké Transfer Lab,65535,381
18,152,32,Dreamyard,3,152
19,154,33,Pinwheel Forest,5,154
20,157,34,Desert Resort,7,157
21,160,35,Relic Castle,9,160
22,191,36,Cold Storage,40,191
23,194,37,Chargestone Cave,65535,194
24,198,38,Twist Mountain,65535,198
25,205,39,Dragonspiral Tower,48,205
26,214,40,Victory Road,52,214
27,230,61,Giant Chasm,68,230
28,235,62,Liberty Garden,65535,235
29,238,63,P2 Laboratory,72,238
30,324,53,Wellspring Cave,80,324
31,333,54,Mistralton Cave,85,333
32,352,59,Challenger's Cave,96,352
33,338,56,Celestial Tower,65535,338
34,346,57,Moor of Icirrus,94,346
35,376,70,Abundant Shrine,105,376
36,240,71,Undella Bay,73,240
37,385,72,Lostlorn Forest,108,385
38,317,14,Route 1,77,317
39,319,15,Route 2,78,319
40,321,16,Route 3,79,321
41,326,17,Route 4,82,326
42,329,18,Route 5,83,329
43,331,19,Route 6,84,331
44,337,20,Route 7,88,337
45,345,21,Route 8,93,345
46,348,22,Route 9,95,348
47,355,23,Route 10,99,355
48,365,24,Route 11,101,365
49,368,25,Route 12,102,368
50,370,26,Route 13,103,370
51,374,27,Route 14,104,374
52,378,28,Route 15,106,378
53,383,29,Route 16,107,383
54,423,30,Route 17,111,423
55,387,31,Route 18,109,387
56,249,64,Skyarrow Bridge,65535,249
57,253,65,Driftveil Drawbridge,74,253
58,254,66,Tubeline Bridge,65535,254
59,255,67,Village Bridge,75,255
60,263,68,Marvelous Bridge,76,263
