record_index,area_index_candidate,u16_00,u16_01,u16_02,u16_03,u16_04,u16_05,u16_06,u16_07,u16_08,u16_09,u16_10,u16_11,u16_12,u16_13,u16_14,u16_15,u16_16,u16_17,u16_18,u16_19,u16_20,u16_21,u16_22,u16_23,u16_24,u16_25,u16_26
0,0,389,1,232,158,232,158,232,154,232,162,8,0,1,0,0,2480,65535,2,3,65535,65535,65535,65535,65535,0,224,150
1,1,397,1,232,138,232,138,232,134,232,142,8,0,1,0,0,2481,65535,4,5,65535,65535,65535,65535,65535,0,224,129
2,2,6,1,228,118,228,118,228,114,228,122,8,0,1,0,0,2482,65535,6,7,8,10,9,65535,65535,0,221,110
3,3,16,1,203,118,203,118,203,114,203,122,8,0,1,0,0,2483,65535,11,12,13,14,15,65535,65535,0,195,109
4,4,28,1,132,130,132,130,132,126,132,134,8,0,1,0,0,2484,65535,16,17,18,22,19,21,20,0,125,121
5,5,62,1,132,91,132,91,132,87,132,95,8,0,1,0,0,2485,65535,23,24,25,26,27,28,29,0,124,83
6,6,96,1,74,91,74,91,74,87,74,95,8,0,1,0,0,2486,65535,30,31,32,33,34,65535,65535,0,66,83
7,7,107,1,40,67,40,67,40,63,40,71,8,0,1,0,0,2487,65535,35,36,37,38,39,65535,65535,0,32,59
8,8,113,1,74,43,74,43,74,39,74,47,8,0,1,0,0,2488,65535,40,41,42,43,65535,65535,65535,0,66,35
9,9,120,1,132,43,132,43,132,39,132,47,8,0,1,0,0,2489,65535,44,46,47,48,65535,65535,65535,0,124,35
10,10,136,1,170,15,170,15,170,11,170,19,8,0,1,0,0,2491,65535,49,50,65535,65535,65535,65535,65535,0,162,7
11,11,406,1,190,43,190,43,190,39,190,47,8,0,1,0,0,2490,65535,51,52,65535,65535,65535,65535,65535,0,182,35
12,12,412,1,224,67,224,67,224,63,224,71,8,0,1,0,0,2493,65535,53,54,65535,65535,65535,65535,65535,0,216,59
13,13,418,1,7,30,7,30,7,26,7,34,8,2,0,0,0,65535,65535,55,65535,65535,65535,65535,65535,65535,1,65535,22
14,14,424,1,190,91,190,91,190,87,190,95,8,0,1,0,0,2492,65535,58,59,65535,65535,65535,65535,65535,0,183,83
15,15,147,1,99,157,99,157,99,153,99,161,8,5,1,0,0,2494,61441,60,65535,65535,65535,65535,65535,65535,1,91,148
16,16,279,1,132,67,132,67,132,63,132,71,8,2,0,0,0,65535,65535,105,65535,65535,65535,65535,65535,65535,1,124,59
17,17,381,1,177,84,177,84,177,80,177,88,8,2,0,0,0,65535,65535,61,65535,65535,65535,65535,65535,65535,1,170,75
18,18,152,1,239,118,239,118,239,114,239,122,8,2,0,0,0,65535,65535,62,65535,65535,65535,65535,65535,65535,1,232,109
19,19,154,1,194,125,194,125,194,121,194,129,8,2,0,0,0,65535,65535,63,65535,65535,65535,65535,65535,65535,1,186,118
20,20,157,1,125,104,125,104,125,100,125,108,8,1,0,0,0,65535,65535,64,65535,65535,65535,65535,65535,65535,11,116,100
21,21,160,1,115,104,115,104,115,100,115,108,8,2,0,0,0,65535,65535,65,65535,65535,65535,65535,65535,65535,1,107,96
22,22,191,1,74,103,74,103,74,99,74,107,8,2,0,0,0,65535,65535,66,65535,65535,65535,65535,65535,65535,1,67,95
23,23,194,1,42,80,42,80,42,76,42,84,8,2,0,0,0,65535,65535,67,65535,65535,65535,65535,65535,65535,1,34,72
24,24,198,1,72,55,72,55,72,51,72,59,8,2,0,0,0,65535,65535,68,65535,65535,65535,65535,65535,65535,1,65,47
25,25,205,1,66,31,66,31,66,27,66,35,8,2,0,0,0,65535,65535,69,65535,65535,65535,65535,65535,65535,1,58,23
26,26,214,1,163,24,163,24,163,20,163,28,8,3,1,0,0,2495,65535,70,65535,65535,65535,65535,65535,65535,1,155,16
27,27,230,1,198,31,198,31,198,27,198,35,8,2,0,0,0,65535,65535,71,65535,65535,65535,65535,65535,65535,1,190,23
28,28,235,1,74,145,74,145,74,141,74,149,8,4,0,0,0,65535,61440,72,65535,65535,65535,65535,65535,65535,1,66,137
29,29,238,1,222,151,222,151,222,147,222,155,8,2,0,0,0,65535,65535,73,65535,65535,65535,65535,65535,65535,1,215,143
30,30,324,1,215,110,215,110,215,106,215,114,8,2,0,0,0,65535,65535,74,65535,65535,65535,65535,65535,65535,1,207,101
31,31,333,1,69,74,69,74,69,70,69,78,8,2,0,0,0,65535,65535,75,65535,65535,65535,65535,65535,65535,1,61,66
32,32,352,1,117,49,117,49,117,45,117,53,8,2,0,0,0,65535,65535,106,65535,65535,65535,65535,65535,65535,1,109,43
33,33,338,1,54,50,54,50,54,46,54,54,8,2,0,0,0,65535,65535,76,65535,65535,65535,65535,65535,65535,1,46,41
34,34,346,1,88,36,88,36,88,32,88,40,8,2,0,0,0,65535,65535,77,65535,65535,65535,65535,65535,65535,1,80,27
35,35,376,1,197,77,197,77,197,73,197,81,8,2,0,0,0,65535,65535,78,65535,65535,65535,65535,65535,65535,1,190,68
36,36,240,1,248,68,248,68,248,64,248,72,8,2,0,0,0,65535,65535,79,65535,65535,65535,65535,65535,65535,1,240,59
37,37,385,1,146,84,146,84,146,80,146,88,8,2,0,0,0,65535,65535,80,65535,65535,65535,65535,65535,65535,1,139,75
38,38,317,1,232,148,232,148,232,144,232,152,8,1,0,0,0,65535,65535,81,65535,65535,65535,65535,65535,65535,8,228,144
39,39,319,1,231,127,231,127,231,123,231,131,8,1,0,0,0,65535,65535,82,65535,65535,65535,65535,65535,65535,8,227,124
40,40,321,1,214,118,214,118,214,114,214,122,8,1,0,0,0,65535,65535,83,65535,65535,65535,65535,65535,65535,12,204,114
41,41,326,1,132,110,132,110,132,106,132,114,8,1,0,0,0,65535,65535,84,65535,65535,65535,65535,65535,65535,6,128,99
42,42,329,1,118,91,118,91,118,87,118,95,8,1,0,0,0,65535,65535,85,65535,65535,65535,65535,65535,65535,15,111,87
43,43,331,1,57,80,57,80,57,76,57,84,8,1,0,0,0,65535,65535,86,65535,65535,65535,65535,65535,65535,3,45,66
44,44,337,1,57,55,57,55,57,51,57,59,8,1,0,0,0,65535,65535,87,65535,65535,65535,65535,65535,65535,2,45,43
45,45,345,1,87,44,87,44,87,40,87,48,8,1,0,0,0,65535,65535,88,65535,65535,65535,65535,65535,65535,11,78,39
46,46,348,1,120,44,120,44,120,40,120,48,8,1,0,0,0,65535,65535,89,90,65535,65535,65535,65535,65535,15,111,39
47,47,355,1,150,31,150,31,150,27,150,35,8,1,0,0,0,65535,65535,91,65535,65535,65535,65535,65535,65535,7,130,24
48,48,365,1,143,43,143,43,143,39,143,47,8,1,0,0,0,65535,65535,92,65535,65535,65535,65535,65535,65535,11,136,39
49,49,368,1,177,42,177,42,177,38,177,46,8,1,0,0,0,65535,65535,93,65535,65535,65535,65535,65535,65535,15,169,39
50,50,370,1,206,54,206,54,206,50,206,58,8,1,0,0,0,65535,65535,94,65535,65535,65535,65535,65535,65535,3,195,43
51,51,374,1,207,80,207,80,207,76,207,84,8,1,0,0,0,65535,65535,95,65535,65535,65535,65535,65535,65535,2,196,67
52,52,378,1,176,91,176,91,176,87,176,95,8,1,0,0,0,65535,65535,96,65535,65535,65535,65535,65535,65535,15,169,87
53,53,383,1,144,92,144,92,144,88,144,96,8,1,0,0,0,65535,65535,97,65535,65535,65535,65535,65535,65535,11,136,87
54,54,423,1,216,159,216,159,216,155,216,163,8,1,0,0,0,65535,65535,98,65535,65535,65535,65535,65535,65535,15,210,154
55,55,387,1,204,159,204,159,204,155,204,163,8,1,0,0,0,65535,65535,99,65535,65535,65535,65535,65535,65535,11,197,154
56,56,249,1,163,121,163,121,163,117,163,125,8,1,0,0,0,65535,65535,100,65535,65535,65535,65535,65535,65535,14,140,115
57,57,253,1,103,89,103,89,103,85,103,93,8,1,0,0,0,65535,65535,101,65535,65535,65535,65535,65535,65535,13,81,86
58,58,254,1,104,41,104,41,104,37,104,45,8,1,0,0,0,65535,65535,102,65535,65535,65535,65535,65535,65535,10,91,38
59,59,255,1,161,41,161,41,161,37,161,45,8,1,0,0,0,65535,65535,103,65535,65535,65535,65535,65535,65535,10,148,38
60,60,263,1,159,89,159,89,159,85,159,93,8,1,0,0,0,65535,65535,104,65535,65535,65535,65535,65535,65535,10,148,86
