id,scope,category,name,status,priority,notes
INPUT-001,White supplied dump,input-integrity,Missing DSi-specific data in SweeTnDs dump,confirmed,blocker,Do not use as clean matching baseline; retain only for structural comparison
GENV-BTL-001,BW/B2W2,battle,Triple Battle softlock,candidate,blocker,Reproduce then patch party/position validation
GENV-BTL-002,BW/B2W2,battle,0 damage glitch,candidate,high,Clamp final damage after all modifiers
GENV-BTL-003,BW/B2W2,battle,Baton Pass Own Tempo confusion timing,candidate,medium,Verify status cure trigger order
GENV-BTL-004,BW/B2W2,battle,Charge Beam additional-effect overflow,candidate,high,Verify effect chance arithmetic width and cap
GENV-BTL-005,BW/B2W2,battle,Choice item lock persists after item removal,candidate,high,Clear lock state when choice effect is no longer applicable
GENV-BTL-006,BW/B2W2,battle,Confusion HP-threshold item activation delay,candidate,high,Run held-item HP checks after confusion self-damage
GENV-BTL-007,BW/B2W2,battle,HP display desynchronization,candidate,high,Unify in-battle and party HP recalculation
GENV-BTL-008,BW-confirmed,battle,Fainted Pokémon state after HP recalculation,candidate,blocker,Derived from HP desync; can lock Single Battle
GENV-BTL-009,BW/B2W2,battle,Impossible move selection by Triple Battle AI,candidate,high,Reject inaccessible moves before random fallback
GENV-BTL-010,BW/B2W2,battle,Low-HP cry red-bar oversight,candidate,low,Verify intended cry filter for red HP
GENV-BTL-011,BW/B2W2,battle,Prize money display overflow,candidate,medium,Expand formatted amount width beyond five digits
GENV-BTL-012,BW/B2W2,battle,Shed Shell switch failure,candidate,high,Locate stale trapping/switchability state
GENV-BTL-013,BW/B2W2,battle,Sky Drop plus Gravity lock,candidate,blocker,Force both battlers out of semi-invulnerable state
GENV-BTL-014,BW/B2W2,battle,Battle sprite clipping,candidate,low,Correct sprite/platform clipping bounds
GENV-BTL-015,BW/B2W2,battle,Trick Room speed modulo overflow,candidate,high,Replace modulo formulation with order-safe comparison
GENV-BTL-016,BW/B2W2,battle,Opponent AI Ability storage,candidate,high,Reset remembered immunity Ability when active target changes
BW-BTL-001,BW,battle,Gym Leader final-Pokémon music delay,candidate,low,Decouple music transition from dialogue cut-in
GENV-UI-001,BW/B2W2,ui,Box change menu-sprite corruption,candidate,medium,Invalidate/reload box sprite cache on Switch Box path
GENV-UI-002,BW/B2W2,ui,Card Album next-page cry leak,candidate,low,Prevent hidden next-page Wonder Card selection audio
GENV-TXT-001,BW/B2W2,text,Censored-word normalization mismatch,candidate,medium,Normalize blacklist and input through the same case/kana transform
GENV-BOOT-001,BW/B2W2,boot,Game Freak logo A/B input freeze,candidate,medium,Debounce/serialize skip input state
GENV-DATA-001,BW/B2W2,data,TM94 Rock Smash wrong type icon,candidate,low,Use Fighting-type icon metadata
BW-NET-001,BW,network,GTS morphing glitch,candidate,high,Requires protocol/state reproduction against preserved or reconstructed service behavior
BW-NET-002,BW,network,GTS repeated-search state glitch,candidate,medium,Reset search result state after trade
BW-NET-003,BW,network,GTS freeze after empty Trainer slot,candidate,blocker,Bounds/null check selected result slot
BW-NET-004,BW,network,GTS Trainer display omissions,candidate,high,Validate result-list compaction and rendering
BW-MAP-001,BW,map,Liberty Garden Fly marker oversight,candidate,low,Correct flyability marker state
BW-UI-001,BW,ui,PC red X disappears after box rename,candidate,low,Restore close-button render state after name-entry return
GENV-OW-001,BW/B2W2,overworld,Castelia Street passerby collision oversight,candidate,medium,Resolve bicycle movement against passerby displacement
